id_penjualan,tanggal_penjualan,id_barang,jumlah_terjual,total_penjualan,id_pelanggan
1,1/2/2024,101,200,2000,1001
2,1/4/2024,102,150,3000,1002
3,1/6/2024,103,100,2500,1003
4,1/8/2024,104,250,5000,1004
5,1/10/2024,105,300,6000,1005
6,1/12/2024,101,100,1000,1006
7,1/14/2024,102,120,2400,1007
8,1/16/2024,103,150,3750,1008
9,1/18/2024,104,200,4000,1009
10,1/20/2024,105,250,5000,1010
11,1/22/2024,101,150,1500,1011
12,1/24/2024,102,180,3600,1012
13,1/26/2024,103,120,3000,1013
14,1/28/2024,104,220,4400,1014
15,1/30/2024,105,280,5600,1015
16,2/1/2024,101,180,1800,1016
17,2/3/2024,102,160,3200,1017
18,2/5/2024,103,200,5000,1018
19,2/7/2024,104,250,5000,1019
20,2/9/2024,,,,
