id_persediaan,id_barang,stok_awal,stok_masuk,stok_keluar,stok_akhir
1,101,1000,500,400,1100
2,102,500,300,200,600
3,103,600,200,150,650
4,104,800,400,300,900
5,105,1200,800,600,1400
6,101,1100,600,500,1200
7,102,600,500,350,750
8,103,650,300,200,750
9,104,900,600,450,1050
10,105,1400,1000,800,1600
11,101,1200,700,600,1300
12,102,750,500,400,850
13,103,750,150,200,700
14,104,1050,450,350,1150
15,105,1600,850,700,1750
16,101,1300,500,400,1400
17,102,850,600,500,950
18,103,700,300,250,750
19,104,1150,700,450,1400
20,105,1750,1000,800,1950
